ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Loan_Status
5849,0,,360,Y
4583,1508,12800,360,N
3000,0,6600,360,Y
2583,2358,12000,360,Y
6000,0,14100,360,Y
5417,4196,26700,360,Y
2333,1516,9500,360,Y
3036,2504,15800,360,N
4006,1526,16800,360,Y
12841,10968,34900,360,N
3200,700,7000,360,Y
2500,1840,10900,360,Y
3073,8106,20000,360,Y
1853,2840,11400,360,N
1299,1086,1700,120,Y
4950,0,12500,360,Y
3596,0,10000,240,Y
3510,0,7600,360,N
4887,0,13300,360,N
2600,3500,11500,,Y
7660,0,10400,360,N
5955,5625,31500,360,Y
2600,1911,11600,360,N
3365,1917,11200,360,N
3717,2925,15100,360,N
9560,0,19100,360,Y
2799,2253,12200,360,Y
4226,1040,11000,360,Y
1442,0,3500,360,N
3750,2083,12000,360,Y
4166,3369,20100,360,N
3167,0,7400,360,N
4692,0,10600,360,N
3500,1667,11400,360,Y
12500,3000,32000,360,N
2275,2067,0,360,Y
1828,1330,10000,,N
3667,1459,14400,360,Y
4166,7210,18400,360,Y
3748,1668,11000,360,Y
3600,0,8000,360,N
1800,1213,4700,360,Y
2400,0,7500,360,Y
3941,2336,13400,360,Y
4695,0,9600,,Y
3410,0,8800,,Y
5649,0,4400,360,Y
5821,0,14400,360,Y
2645,3440,12000,360,N
4000,2275,14400,360,Y
1928,1644,10000,360,Y
3086,0,12000,360,Y
4230,0,11200,360,N
4616,0,13400,360,N
11500,0,28600,360,N
2708,1167,9700,360,Y
2132,1591,9600,360,Y
3366,2200,13500,360,N
8080,2250,18000,360,Y
3357,2859,14400,360,Y
2500,3796,12000,360,Y
3029,0,9900,360,Y
2609,3449,16500,180,N
4945,0,0,360,N
4166,0,11600,360,N
5726,4595,25800,360,N
3200,2254,12600,180,N
10750,0,31200,360,Y
7100,0,12500,60,Y
4300,0,13600,360,N
3208,3066,17200,360,Y
1875,1875,9700,360,Y
3500,0,8100,300,Y
4755,0,9500,,N
5266,1774,18700,360,Y
3750,0,11300,480,N
3750,4750,17600,360,N
1000,3022,11000,360,N
3167,4000,18000,300,N
3333,2166,13000,360,Y
3846,0,11100,360,Y
2395,0,0,360,Y
1378,1881,16700,360,N
6000,2250,26500,360,N
3988,0,5000,240,Y
2366,2531,13600,360,Y
3333,2000,9900,360,Y
2500,2118,10400,360,Y
8566,0,21000,360,Y
5695,4167,17500,360,Y
2958,2900,13100,360,Y
6250,5654,18800,180,Y
3273,1820,8100,360,Y
4133,0,12200,360,Y
3620,0,2500,120,Y
6782,0,0,360,N
2484,2302,13700,360,Y
1977,997,5000,360,Y
4188,0,11500,180,Y
1759,3541,13100,360,Y
4288,3263,13300,180,Y
4843,3806,15100,360,Y
13650,0,0,360,Y
4652,3583,0,360,Y
3816,754,16000,360,Y
3052,1030,10000,360,Y
11417,1126,22500,360,Y
7333,0,12000,360,N
3800,3600,21600,360,N
2071,754,9400,480,Y
5316,0,13600,360,Y
2929,2333,13900,360,Y
3572,4114,15200,,N
7451,0,0,360,Y
5050,0,11800,360,Y
14583,0,18500,180,Y
3167,2283,15400,360,Y
2214,1398,8500,360,Y
5568,2142,17500,360,N
10408,0,25900,360,Y
5667,2667,18000,360,Y
4166,0,4400,360,Y
2137,8980,13700,360,Y
2957,0,8100,360,Y
4300,2014,19400,360,Y
3692,0,9300,360,Y
23803,0,37000,360,Y
3865,1640,0,360,Y
10513,3850,16000,180,N
6080,2569,18200,360,N
20166,0,65000,480,Y
2014,1929,7400,360,Y
2718,0,7000,360,Y
3459,0,2500,120,Y
4895,0,10200,360,Y
4000,7750,29000,360,N
4583,0,8400,360,N
3316,3500,8800,360,Y
14999,0,24200,360,N
4200,1430,12900,360,N
5042,2083,18500,360,N
5417,0,16800,360,Y
6950,0,17500,180,Y
2698,2034,12200,360,Y
11757,0,18700,180,Y
2330,4486,10000,360,Y
14866,0,7000,360,Y
1538,1425,3000,360,Y
10000,1666,22500,360,N
4860,830,12500,360,Y
6277,0,11800,360,N
2577,3750,15200,360,Y
9166,0,24400,360,N
2281,0,11300,360,N
3254,0,5000,360,Y
39999,0,60000,180,Y
6000,0,16000,360,Y
9538,0,18700,360,Y
2980,2083,12000,360,Y
4583,5625,25500,360,Y
1863,1041,9800,360,Y
7933,0,27500,360,N
3089,1280,12100,360,N
4167,1447,15800,360,Y
9323,0,7500,180,Y
3707,3166,18200,,Y
4583,0,11200,360,N
2439,3333,12900,360,Y
2237,0,6300,480,N
8000,0,20000,360,Y
1820,1769,9500,360,Y
51763,0,70000,300,Y
3522,0,8100,180,N
5708,5625,18700,360,Y
4344,736,8700,360,N
3497,1964,11600,360,Y
2045,1619,10100,360,Y
5516,11300,49500,360,N
3750,0,11600,360,Y
2333,1451,10200,480,N
6400,7250,18000,360,N
1916,5063,6700,360,N
4600,0,7300,180,Y
33846,0,26000,360,N
3625,0,10800,360,Y
39147,4750,12000,360,Y
2178,0,6600,300,N
2383,2138,5800,360,Y
674,5296,16800,360,Y
9328,0,18800,180,Y
4885,0,4800,360,Y
12000,0,16400,360,N
6033,0,16000,360,N
3858,0,7600,360,Y
4191,0,12000,360,Y
3125,2583,17000,360,N
8333,3750,18700,360,Y
1907,2365,12000,,Y
3416,2816,11300,360,Y
11000,0,8300,360,N
2600,2500,9000,360,Y
4923,0,16600,360,Y
3992,0,0,180,N
3500,1083,13500,360,Y
3917,0,12400,360,Y
4408,0,12000,360,Y
3244,0,8000,360,Y
3975,2531,5500,360,Y
2479,0,5900,360,Y
3418,0,12700,360,N
10000,0,21400,360,N
3430,1250,12800,360,N
7787,0,24000,360,Y
5703,0,13000,360,Y
3173,3021,13700,360,Y
3850,983,10000,360,Y
150,1800,13500,360,N
3727,1775,13100,360,Y
5000,0,7200,360,N
4283,2383,12700,360,Y
2221,0,6000,360,N
4009,1717,11600,360,Y
2971,2791,14400,360,Y
7578,1010,17500,,Y
6250,0,12800,360,Y
3250,0,17000,360,N
4735,0,13800,360,N
6250,1695,21000,360,Y
4758,0,15800,480,Y
6400,0,20000,360,Y
2491,2054,10400,360,Y
3716,0,4200,180,Y
3189,2598,12000,,Y
8333,0,28000,360,Y
3155,1779,14000,360,Y
5500,1260,17000,360,Y
5746,0,25500,360,N
3463,0,12200,360,Y
3812,0,11200,360,Y
3315,0,9600,360,Y
5819,5000,12000,360,Y
2510,1983,14000,180,N
2965,5701,15500,60,Y
6250,1300,10800,360,Y
3406,4417,12300,360,Y
6050,4333,12000,180,N
9703,0,11200,360,Y
6608,0,13700,180,Y
2882,1843,12300,480,Y
1809,1868,9000,360,Y
1668,3890,20100,360,N
3427,0,13800,360,N
2583,2167,10400,360,Y
2661,7101,27900,180,Y
16250,0,19200,360,N
3083,0,25500,360,Y
6045,0,11500,360,N
5250,0,9400,360,N
14683,2100,30400,360,N
4931,0,12800,360,N
6083,4250,33000,360,Y
2060,2209,13400,360,Y
3481,0,15500,36,N
7200,0,12000,360,Y
5166,0,12800,360,Y
4095,3447,15100,360,Y
4708,1387,15000,360,Y
4333,1811,16000,360,Y
3418,0,13500,360,N
2876,1560,9000,360,Y
3237,0,3000,360,Y
11146,0,13600,360,Y
2833,1857,12600,360,Y
2620,2223,15000,360,Y
3900,0,9000,360,Y
2750,1842,11500,360,Y
3993,3274,20700,360,Y
3103,1300,8000,360,Y
14583,0,43600,360,Y
4100,0,12400,360,Y
4053,2426,15800,360,N
3927,800,11200,360,Y
2301,985.7999878,7800,180,Y
1811,1666,5400,360,Y
20667,0,0,360,N
3158,3053,8900,360,Y
2600,1717,9900,300,N
3704,2000,12000,360,Y
4124,0,11500,360,Y
9508,0,18700,360,Y
3075,2416,13900,360,Y
4400,0,12700,360,N
3153,1560,13400,360,Y
5417,0,14300,480,N
2383,3334,17200,360,Y
4416,1250,11000,360,Y
6875,0,20000,360,Y
4666,0,13500,360,Y
5000,2541,15100,480,N
2014,2925,11300,360,N
1800,2934,9300,360,N
2875,1750,10500,360,Y
5000,0,13200,360,Y
1625,1803,9600,360,Y
4000,2500,14000,360,Y
2000,0,0,360,N
3762,1666,13500,360,Y
2400,1863,10400,360,N
20233,0,48000,360,N
7667,0,18500,360,Y
2917,0,8400,360,Y
2927,2405,11100,360,Y
2507,0,5600,360,Y
5746,0,14400,84,Y
2473,1843,15900,360,N
3399,1640,11100,180,Y
3717,0,12000,360,Y
2058,2134,8800,360,Y
3541,0,11200,360,Y
10000,0,15500,360,N
2400,2167,11500,360,Y
4342,189,12400,360,Y
3601,1590,0,360,Y
3166,2985,13200,360,Y
15000,0,30000,360,Y
8666,4983,37600,360,N
4917,0,13000,360,Y
5818,2160,18400,360,Y
4333,2451,11000,360,N
2500,0,6700,360,Y
4384,1793,11700,360,Y
2935,0,9800,360,Y
2833,0,7100,360,Y
63337,0,49000,180,Y
9833,1833,18200,180,Y
5503,4490,7000,,Y
5250,688,16000,360,Y
2500,4600,17600,360,Y
1830,0,0,360,N
4160,0,7100,360,Y
2647,1587,17300,360,N
2378,0,4600,360,N
4554,1229,15800,360,Y
3173,0,7400,360,Y
2583,2330,12500,360,Y
2499,2458,16000,360,Y
3523,3230,15200,360,N
3083,2168,12600,360,Y
6333,4583,25900,360,Y
2625,6250,18700,360,Y
9083,0,22800,360,Y
8750,4167,30800,360,N
2666,2083,9500,360,Y
5500,0,10500,360,N
2423,505,13000,360,Y
3813,0,11600,180,Y
8333,3167,16500,360,Y
3875,0,6700,360,N
3000,1666,10000,480,N
5167,3167,20000,360,Y
4723,0,8100,360,N
5000,3667,23600,360,Y
4750,2333,13000,360,Y
3013,3033,9500,300,Y
6822,0,14100,360,Y
6216,0,13300,360,N
2500,0,9600,480,N
5124,0,12400,,N
6325,0,17500,360,Y
19730,5266,57000,360,N
15759,0,5500,360,Y
5185,0,15500,360,Y
9323,7873,38000,300,Y
3062,1987,11100,180,N
2764,1459,11000,360,Y
4817,923,12000,180,Y
8750,4996,13000,360,Y
4310,0,13000,360,Y
3069,0,7100,480,N
5391,0,13000,360,Y
3333,2500,12800,360,Y
5941,4232,29600,360,Y
6000,0,15600,360,Y
7167,0,12800,360,Y
4566,0,10000,360,N
3667,0,11300,180,Y
2346,1600,13200,360,Y
3010,3136,0,360,N
2333,2417,13600,360,Y
5488,0,12500,360,Y
9167,0,18500,360,Y
9504,0,27500,360,Y
2583,2115,12000,360,Y
1993,1625,11300,180,Y
3100,1400,11300,360,Y
3276,484,13500,360,Y
3180,0,7100,360,N
3033,1459,9500,360,Y
3902,1666,10900,360,Y
1500,1800,10300,360,N
2889,0,4500,180,N
2755,0,6500,300,N
2500,20000,10300,360,Y
1963,0,5300,360,Y
7441,0,19400,360,N
4547,0,11500,360,Y
2167,2400,11500,360,Y
2213,0,6600,360,Y
8300,0,15200,300,N
81000,0,36000,360,N
3867,0,6200,360,N
6256,0,16000,360,Y
6096,0,21800,360,N
2253,2033,11000,360,Y
2149,3237,17800,360,N
2995,0,6000,360,Y
2600,0,16000,360,N
1600,20000,23900,360,N
1025,2773,11200,360,Y
3246,1417,13800,360,Y
5829,0,13800,360,Y
2720,0,8000,,N
1820,1719,10000,360,Y
7250,1667,11000,,N
14880,0,9600,360,Y
2666,4300,12100,360,Y
4606,0,8100,360,N
5935,0,13300,360,Y
2920,16.12000084,8700,360,Y
2717,0,6000,180,Y
8624,0,15000,360,Y
6500,0,10500,360,N
12876,0,40500,360,Y
2425,2340,14300,360,Y
3750,0,10000,360,Y
10047,0,0,240,Y
1926,1851,5000,360,Y
2213,1125,0,360,Y
10416,0,18700,360,N
7142,0,13800,360,Y
3660,5064,18700,360,Y
7901,1833,18000,360,Y
4707,1993,14800,360,Y
37719,0,15200,360,Y
7333,8333,17500,300,Y
3466,1210,13000,360,Y
4652,0,11000,360,Y
3539,1376,5500,360,N
3340,1710,15000,360,N
2769,1542,19000,360,N
2309,1255,12500,360,N
1958,1456,6000,300,Y
3948,1733,14900,360,N
2483,2466,9000,180,Y
7085,0,8400,360,Y
3859,0,9600,360,Y
4301,0,11800,360,Y
3708,2569,17300,360,N
4354,0,13600,360,Y
8334,0,16000,360,N
2083,4083,16000,360,Y
7740,0,12800,180,Y
3015,2188,15300,360,Y
5191,0,13200,360,Y
4166,0,9800,360,N
6000,0,14000,360,Y
2947,1664,7000,180,N
16692,0,11000,360,Y
210,2917,9800,360,Y
4333,2451,11000,360,N
3450,2079,16200,360,Y
2653,1500,11300,180,N
4691,0,10000,360,Y
2500,0,9300,360,Y
5532,4648,16200,360,Y
16525,1014,15000,360,Y
6700,1750,23000,300,Y
2873,1872,13200,360,N
16667,2250,8600,360,Y
2947,1603,0,360,N
4350,0,15400,360,Y
3095,0,11300,360,Y
2083,3150,12800,360,Y
10833,0,23400,360,Y
8333,0,24600,360,Y
1958,2436,13100,360,Y
3547,0,8000,360,N
18333,0,50000,360,N
4583,2083,16000,360,Y
2435,0,7500,360,N
2699,2785,9600,360,Y
5333,1131,18600,360,Y
3691,0,11000,360,Y
17263,0,22500,360,Y
3597,2157,11900,360,N
3326,913,10500,84,Y
2600,1700,10700,360,Y
4625,2857,11100,12,Y
2895,0,9500,360,Y
6283,4416,20900,360,N
645,3683,11300,480,Y
3159,0,10000,360,Y
4865,5624,20800,360,Y
4050,5302,13800,360,N
3814,1483,12400,300,Y
3510,4416,24300,360,Y
20833,6667,48000,360,Y
3583,0,9600,360,N
2479,3013,18800,360,Y
13262,0,4000,360,Y
3598,1287,10000,360,N
6065,2004,25000,360,Y
3283,2035,14800,360,Y
2130,6666,7000,180,N
5815,3666,31100,360,N
3466,3428,15000,360,Y
2031,1632,11300,480,Y
3074,1800,12300,360,N
4683,1915,18500,360,N
3400,0,9500,360,N
2192,1742,4500,360,Y
2500,0,5500,360,Y
5677,1424,10000,360,Y
7948,7166,48000,360,Y
4680,2087,0,360,N
17500,0,40000,360,Y
3775,0,11000,360,Y
5285,1430,16100,360,Y
2679,1302,9400,360,Y
6783,0,13000,360,Y
1025,5500,21600,360,Y
4281,0,10000,360,Y
3588,0,11000,360,N
11250,0,19600,360,N
18165,0,12500,360,Y
2550,2042,12600,360,Y
6133,3906,32400,360,Y
3617,0,10700,360,Y
2917,536,6600,360,N
6417,0,15700,180,Y
4608,2845,14000,180,Y
2138,0,9900,360,N
3652,0,9500,360,Y
2239,2524,12800,360,Y
3017,663,10200,360,Y
2768,1950,15500,360,Y
3358,0,8000,36,N
2526,1783,14500,360,Y
5000,0,10300,360,N
2785,2016,11000,360,Y
6633,0,0,360,N
2492,2375,0,360,Y
3333,3250,15800,360,Y
2454,2333,18100,360,N
3593,4266,13200,180,N
5468,1032,2600,360,Y
2667,1625,8400,360,Y
10139,0,26000,360,Y
3887,2669,16200,360,Y
4180,2306,18200,360,Y
3675,242,10800,360,Y
19484,0,60000,360,Y
5923,2054,21100,360,Y
5800,0,13200,360,Y
8799,0,25800,360,N
4467,0,12000,360,Y
3333,0,7000,360,Y
3400,2500,12300,360,N
2378,0,900,360,N
3166,2064,10400,360,N
3417,1750,18600,360,Y
5116,1451,16500,360,N
16666,0,27500,360,Y
6125,1625,18700,480,N
6406,0,15000,360,N
3159,461,10800,84,Y
3087,2210,13600,360,N
3229,2739,11000,360,Y
1782,2232,10700,360,Y
3182,2917,16100,360,Y
6540,0,20500,360,Y
1836,33837,9000,360,N
3166,0,3600,360,Y
1880,0,6100,360,N
2787,1917,14600,360,N
4283,3000,17200,84,N
2297,1522,10400,360,Y
2165,0,7000,360,Y
4750,0,9400,360,Y
2726,0,10600,360,N
3000,3416,5600,180,Y
6000,0,20500,240,N
9357,0,29200,360,Y
3859,3300,14200,180,Y
16120,0,26000,360,Y
3833,0,11000,360,Y
6383,1000,18700,360,N
2987,0,8800,360,N
9963,0,18000,360,Y
5780,0,19200,360,Y
416,41667,35000,180,N
2894,2792,15500,360,Y
5703,0,12800,360,Y
3676,4301,17200,360,Y
12000,0,49600,360,Y
2400,3800,0,180,N
3400,2500,17300,360,Y
3987,1411,15700,360,Y
3232,1950,10800,360,Y
2900,0,7100,360,Y
4106,0,4000,180,Y
8072,240,25300,360,Y
7583,0,18700,360,Y
4583,0,13300,360,N
